Sex and year,All causes,Heart disease,Cancer ,Unintentional injuries2,CLRD3,Stroke4,Diabetes5,Alzheimer's disease
All persons,"Age-adjusted deaths per 100,000 population/6",,,,,,,
2007,775.3,196.1,179.3,40.4,41.4,43.5,22.8,23.8
2008,774.9,192.1,176.4,39.2,44.7,42.1,22,25.8
2009,749.6,182.8,173.5,37.5,42.7,39.6,21,24.2
2010,747,179.1,172.8,38,42.2,39.1,20.8,25.1
2011,741.3,173.7,169,39.1,42.5,37.9,21.6,24.7
2012,732.8,170.5,166.5,39.1,41.5,36.9,21.2,23.8
2013,731.9,169.8,163.2,39.4,42.1,36.2,21.2,23.5
2014,724.6,167,161.2,40.5,40.5,36.5,20.9,25.4
2015,733.1,168.5,158.5,43.2,41.6,37.6,21.3,29.4
2016,728.8,165.5,155.8,47.4,40.6,37.3,21,30.3
2017,731.9,165,152.5,49.4,40.9,37.6,21.5,31
Male,,,,,,,,
2007,922.9,243.7,218.8,55.9,48.8,43.7,26.6,19.5
2008,918.8,238.5,214.9,54.3,52.3,42.2,25.9,21.3
2009,890.9,229.4,210.9,51.4,49.5,39.9,25,20.2
2010,887.1,225.1,209.9,51.5,48.7,39.3,24.9,21
2011,875.3,218.1,204,52.8,48.6,37.9,26,20.4
2012,865.1,214.7,200.3,52.6,47.2,37.1,25.5,19.8
2013,863.6,214.5,196,53.1,47.5,36.7,25.6,19.3
2014,855.1,210.9,192.9,54.6,45.4,36.9,25.6,20.6
2015,863.2,211.8,189.2,58.7,46,37.8,26.2,23.7
2016,861,209.1,185.4,65,45.1,37.5,26,24.3
2017,864.5,209,181.1,67.8,45,38,26.8,24.9
Female,,,,,,,,
2007,658.1,159,152.3,26.1,36.6,42.7,19.8,26.2
2008,659.9,155.9,149.6,25.4,39.8,41.4,19.1,28.2
2009,636.8,146.6,147.4,24.8,38.3,38.8,17.9,26.3
2010,634.9,143.3,146.7,25.6,38,38.3,17.6,27.3
2011,632.4,138.7,144,26.5,38.5,37.2,18.2,27.1
2012,624.7,135.5,142.1,26.4,37.8,36.1,17.7,26.1
2013,623.5,134.3,139.5,26.6,38.5,35.2,17.6,25.9
2014,616.7,131.8,138.1,27.3,37.1,35.6,17.2,28.3
2015,624.2,133.6,135.9,28.7,38.6,36.9,17.3,32.8
2016,617.5,130.4,134,30.8,37.4,36.5,16.9,33.9
2017,619.7,129.6,131.4,32,38.1,36.6,17.1,34.8
All persons,Standard error,,,,,,,
2007,0.5,0.25,0.24,0.12,0.12,0.12,0.09,0.09
2008,0.5,0.25,0.24,0.11,0.12,0.12,0.08,0.09
2009,0.48,0.24,0.23,0.11,0.12,0.11,0.08,0.09
2010,0.48,0.23,0.23,0.11,0.11,0.11,0.08,0.09
2011,0.47,0.23,0.22,0.11,0.11,0.11,0.08,0.09
2012,0.46,0.22,0.22,0.11,0.11,0.1,0.08,0.08
2013,0.46,0.22,0.22,0.11,0.11,0.1,0.08,0.08
2014,0.45,0.22,0.21,0.11,0.11,0.1,0.08,0.08
2015,0.45,0.21,0.21,0.11,0.11,0.1,0.08,0.09
2016,0.45,0.21,0.2,0.12,0.1,0.1,0.08,0.09
2017,0.44,0.21,0.2,0.12,0.1,0.1,0.08,0.09
Male,,,,,,,,
2007,0.86,0.45,0.41,0.2,0.2,0.19,0.14,0.13
2008,0.84,0.43,0.4,0.2,0.2,0.18,0.14,0.14
2009,0.82,0.42,0.39,0.19,0.2,0.18,0.14,0.13
2010,0.81,0.41,0.39,0.19,0.19,0.17,0.13,0.13
2011,0.79,0.4,0.38,0.19,0.19,0.17,0.14,0.13
2012,0.78,0.39,0.37,0.19,0.18,0.16,0.13,0.12
2013,0.77,0.38,0.36,0.19,0.18,0.16,0.13,0.12
2014,0.75,0.38,0.35,0.19,0.18,0.16,0.13,0.12
2015,0.75,0.37,0.34,0.2,0.17,0.16,0.13,0.13
2016,0.74,0.37,0.34,0.21,0.17,0.16,0.13,0.13
2017,0.73,0.36,0.33,0.21,0.17,0.16,0.13,0.13
Female,,,,,,,,
2007,0.6,0.29,0.3,0.13,0.14,0.15,0.11,0.11
2008,0.6,0.29,0.29,0.12,0.15,0.15,0.1,0.12
2009,0.59,0.27,0.29,0.12,0.14,0.14,0.1,0.11
2010,0.58,0.27,0.28,0.12,0.14,0.14,0.1,0.11
2011,0.57,0.26,0.28,0.12,0.14,0.14,0.1,0.11
2012,0.57,0.26,0.27,0.12,0.14,0.13,0.1,0.11
2013,0.56,0.25,0.27,0.12,0.14,0.13,0.09,0.11
2014,0.55,0.25,0.27,0.13,0.14,0.13,0.09,0.11
2015,0.55,0.25,0.26,0.13,0.14,0.13,0.09,0.12
2016,0.55,0.24,0.26,0.13,0.13,0.13,0.09,0.12
2017,0.54,0.24,0.25,0.13,0.13,0.13,0.09,0.12
,,,,,,,,